State,Violent,Property,Total,Population

ca,179923.076923,1242966.17308,1422889.25,26942193.8846

ky,94920.6634615,667817.105769,762737.673077,15307815.5481

ma,75147.0641026,510494.025641,592935.019608,12175700.0833

md,64341.5721154,427917.990476,550929.15942,10268795.2019

me,51760.2692308,349395.866412,447087.945946,8446239.77692

mi,51831.4391026,357000.761146,446988.926045,8580444.79167

mn,45866.2994505,326981.043716,405273.534435,7970687.56044

oh,44879.3774038,334658.791866,407954.443373,8335093.77404

or,41015.0726496,312125.210638,378237.047109,7716320.97222

pa,40842.9826923,310193.181992,373606.72447,8141538.75385

ri,37377.4772727,285410.74216,343167.024518,7490148.06119

sc,36107.0032051,272890.587859,327611.502408,7146413.79327

sd,33366.1890694,252806.298969,303235.204142,6643417.93058

tn,32808.6556927,247127.805746,295762.179945,6514413.83402

tx,36192.787452,281768.974457,332870.00641,7169676.05634

ut,34174.9903962,268660.446707,316753.983173,6827427.70708

va,33181.7039548,263758.244645,310021.149321,6772753.41017

vt,31371.9530416,249984.206603,293664.07265,6426081.99146

dc,30278.4721941,238567.316213,281604.817172,6122532.67139

wa,29591.0614793,237937.273684,279648.523033,6047386.26321

wi,28620.7081427,233872.248861,274024.136197,5990457.19945

wv,27472.7991266,224883.829417,263338.544503,5801696.30917

wy,26323.9498747,215785.199001,252592.56177,5568893.11362

nv,25550.9615693,209127.231445,244695.2712,5387649.63171

