State,Violent,Property,Total,Population
ca,179923.076923,1242966.17308,1422889.25,26942193.8846
ky,94920.6634615,667817.105769,762737.673077,15307815.5481
ma,75147.0641026,510494.025641,592935.019608,12175700.0833
md,64341.5721154,427917.990476,550929.15942,10268795.2019
me,51760.2692308,349395.866412,447087.945946,8446239.77692
mi,51831.4391026,357000.761146,446988.926045,8580444.79167
mn,45866.2994505,326981.043716,405273.534435,7970687.56044
oh,44879.3774038,334658.791866,407954.443373,8335093.77404
or,41015.0726496,312125.210638,378237.047109,7716320.97222
pa,40842.9826923,310193.181992,373606.72447,8141538.75385
ri,37377.4772727,285410.74216,343167.024518,7490148.06119
sc,36107.0032051,272890.587859,327611.502408,7146413.79327
sd,33366.1890694,252806.298969,303235.204142,6643417.93058
tn,32808.6556927,247127.805746,295762.179945,6514413.83402
tx,36192.787452,281768.974457,332870.00641,7169676.05634
ut,34174.9903962,268660.446707,316753.983173,6827427.70708
va,33181.7039548,263758.244645,310021.149321,6772753.41017
vt,31371.9530416,249984.206603,293664.07265,6426081.99146
dc,30278.4721941,238567.316213,281604.817172,6122532.67139
wa,29591.0614793,237937.273684,279648.523033,6047386.26321
wi,28620.7081427,233872.248861,274024.136197,5990457.19945
wv,27472.7991266,224883.829417,263338.544503,5801696.30917
wy,26323.9498747,215785.199001,252592.56177,5568893.11362
nv,25550.9615693,209127.231445,244695.2712,5387649.63171
ak,72008.2413528,592048.947207,1142254.07899,14848964.9055
al,114894.525499,944584.516532,1968431.18483,23583024.6075
ar,154606.308897,1270212.77739,2731416.27408,31670577.3993
az,191483.483185,1571901.04357,3438192.3663,39180844.3363
co,225819.089463,1852195.78858,4094750.15724,46173505.0696
ct,257867.121717,2113294.69816,4706258.23952,52700287.0609
de,287848.820831,2357104.40956,5277199.44656,58806247.3986
fl,315957.789189,2585287.14837,5811480.93282,64530814.418
ga,342364.175888,2799298.67625,6312523.7091,69908640.0454
hi,367218.123799,3000419.38148,6783335.97151,74970301.8146
ia,390652.62603,3189779.91554,7226573.5461,79742884.603
id,412785.906567,3368382.46028,7644590.01528,84250465.464
il,433723.415065,3537118.47059,8039478.52408,88514519.8784
in,453559.506829,3696783.5555,8413106.834,92554263.8938
kn,472378.864465,3848090.0223,8767146.86359,96386943.652
la,490257.706391,3991677.50071,9103099.70151,100028081.51
mo,507264.818565,4128121.98158,9422316.88146,103491686.158
ms,523462.438902,4257943.53933,9726018.55491,106790432.735
mt,538907.018328,4381612.95656,10015309.0769,109935817.827
nc,553649.878113,4499557.42863,10291190.4245,112938293.329
nd,567737.779581,4612165.49393,10554573.7915,115807382.478
ne,581213.419557,4719791.30971,10806289.6427,118551780.75
nh,594115.862577,4822758.37275,11047096.4603,121179443.88
nj,606480.919103,4921362.76697,11277688.3775,123697664.893
nm,618341.477442,5015876.00692,11498701.8612,126113141.699
ny,629727.795848,5106547.53444,11710721.5784,128432036.579
