letter	frequency
ca	5.28126720524
ky	4.98266830222
ma	4.86982280731
md	5.3650807966
me	5.29333712698
mi	5.20939108517
mn	5.08454924826
oh	4.89441936027
or	4.9017795977
pa	4.58889573293
ri	4.58157865125
sc	4.58427837913
sd	4.56444570116
tn	4.54011960985
tx	4.642748205
ut	4.63943371886
va	4.57747581443
vt	4.5698774625
dc	4.59948247378
wa	4.62428743363
wi	4.57434427914
wv	4.53899222692
wy	4.5357767983
nv	4.54178144325
ak	7.69248285157
al	8.34681393752
ar	8.62445998266
az	8.77518701943
co	8.86818133271
ct	8.93023264576
de	8.97387553194
fl	9.00574552674
ga	9.02967602431
hi	9.04803076328
ia	9.0623427809
id	9.07364721747
il	9.0826663638
in	9.08991815186
kn	9.09578261475
la	9.10054413132
mo	9.10441913867
ms	9.10757481341
mt	9.11014196728
nc	9.11222413685
nd	9.11390411012
ne	9.11524869083
nh	9.11631222803
nj	9.11713926629
nm	9.11776655967
ny	9.11822461927
